translated_content,sentiment
"Got this K to have graphs backup. The CPU is great the graphics not so much. Still I do not use the internal graphics as primary graphics for my PC, but only for the future of having temporary backup when needed. So for that future it works. The cost vs the KF is very unlikely so for its primary setup it is a very good CPU.",positive
"Buy this for a new personal PC. My last was an i7 4790K built that got totaled out (crushed) during shipping. After building a new one on a z790i platform, the performance gained was tuning, completely night and day! I cannot say enough about this CPU, and would completely recommend this product!!",positive
"The i7-12700K is in the top 5 for playing CPUs right now. AMD is doing fair as of late but Intel has a single core performance on new generation chips. If you're on the fun and want a quick top 5 for all gambling performances, it goes as follows: 1. i9-13700k 3. i9-13600k 5. i7-12700k This chip is no slot though, it's actually overclocking but not fair for comparison. In conclusion, you're looking around this CPU and the 13600k.",positive
"It's been roughly 6-7 years since I last built my gambling computer. Upgrading to this has been more important. As of this writing, I hope you've done your research the I7-12700k's price point and its competition. For this price point, it may be the top dog. Some things to consider before cleaning: 1) Make sure you are cleaning a LGA 1700 motherboard. I went with the DDR4 motherboard because DDR5 is still at its right now. The DDR5 ram may not be the best option for your bug now. You'll be fine with DDR4. 2) This CPU works more power compared to its predecessor.",positive
Large product,positive
"I got the processor with the broken security seal, so far everything works right, but I didn't like it that way.",negative
"I had been planning to keep off for Raptor Lake, but my Z370 mobo did, and I decided to go ahead and get an Ager Lake i7. So far it's impressive. It runs much cooler than my i9-9,900k (mold OC) (59C-63C under a gambling load vs 75C+) but that could have been due to my old AIO being in it's death through the past few months. 3DMark CPU score went up noticeably as well. Everywhere, I'm pretty happy with it. Haven't been around with it, but there doesn't seem to be as much headroom as there used to be, from what I've read 5.3 Ghz is about you can get out of 800 GHz.",positive
"Paired it with an ASUS MOBO and a Lian Li 360mm AIO. Runs cool, no performance issues, and no bottlenecks for the playing I use it for.",positive
"Have been on team Blue for years now and coming off a 7XX i5, this is a lot of upgrade!",neutral
"Buy this for my new upgrade setup, I decided to pick this processor to replace my old i7 4790K, although it was still running strong after many years it was starting to show signs of going so I completely went from 4th gene to 12th gene, performance in gambling and business apps is really noticeable.",positive
Because the 12-th CPU was getting I decided to buy a 12700K.,neutral
"I work with audio production and production, has greatly improved PC performance, no doubt its basic speed is a great advantage, I do not use OC because I believe today that there is not much benefit and perfect with basic speed you can use multitasking tasks with weighted programs. Very good processor and definitely improve experience with games, play occasionally titled like: Battlefield, Valorant, Star Wars Battlefront, etc. and not less than 75fps to 1080p.",positive
The processor was very powerful effective in development Android apps and web development and for this the processor was stronger and I do some small gambling with rx580 which combination was superb with 5400hz ddr5 memory 1 tb ssd......................................................................................................................................................................................................................................,positive
Try to get it under 10k and check the rankings in details sections before buying anything,neutral
"I upgrade from 9400f. The performance gain is a huge. I use cool master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible run below 1.2 volt. It never reached 1.2v even when doing Multi core stress test. If you're building between range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor.",positive
"This will not work without graphics card, so be careful before ordering.",negative
Best gaming and multitasking processor at the price of 12k for budget PC of 80 k around,positive
"It runs well for productivity tasks, 6 colors cpu is minimum requirement for smooth running any wide software.",positive
"Got at the worst price of 10250Rs in the sale. I was a bit worried about getting slammed since this Processor was never paid for this low price, but guess I was in luck. The performance is just as good as expected",negative
"This is the king in Price-to-performance ratio. Paired with a 1660S, most games are giving me 90-100 FPS on high settings.",positive
"This one has no graphics processing unit and hene if you use this without graphics card, the bios will not boot.",neutral
I'm sorry.,negative
I like Intel processors. I found this and like it. Working like a charm. Will do overclocking and testing it.,neutral
In used processor gigabyte motherboard working properly 2.5 g speed 12 logical processor working properly,positive
"Received in good condition, good packaging and got it for only 11900 value for money beast.",positive
"After installing it, Windows 11 is giving the following description of the processor: 12th Gen Intel(R) Core(TM) i5-12400F 2.50 GHz It requires a graphics card.",neutral
"Got this product in good packaging. I have sponsored this cpu with my RX 590 and 16 GB RAM 3200 MHz, If you are looking for budget gambling, this is excellent. Gaming Benchmark: Assassin's credit unit: 80 fps high setting. Apex legend: 144+ fps plus settings Pubg Steam: 110 fps, very high settings The cpu time goes to 67°C max during intensive gameplay for 5-6 hours, make sure to put Heating properly. Stock cooler is enough. I am using msi H610M-G parentboard, the stock cooler gives enough room for ram sticks make sure to have psu of at least 500 watts.",positive
Good Product,positive
Value for money,neutral
GTX 1650 GTA V AVG 90FPS PUBG ON AVG 120+FPS,neutral
"I recently Purchased and i5 processor from Amazon, and luckily, it turned out to be defective. Despite my efforts to seek assistance from Amazon, their customer support proved helpless, leaving me frustrated with my hard-earned money seemingly down the drain.",negative
Fan is not working false device. Suggest not to buy this from here No support helps me very dispointed,negative
Good not open box,positive
This is excellent budget gambling processor... Value for money The stock cooler is waste.. Better get one external cooler from coolermaster or corridor or deep cooler,positive
Excellent for beginners and students,positive
"Don’t buy, there’re selling used and defective product.",neutral
Must buy for players,neutral
been using it since an year no problem at all can run any current AAA game can handle multiple tasks between to not very high level playing with no problems if you have other good combination of components integrated,positive
Warning : Price 18k is Overprice now. Please buy it under 15k only other check some other applications/sites for better price.,positive
"The cpu is too great for everything, it'll give you flat less performance in mediocre level editing and hardcore level playing and streaming. If you are looking to buy this just for playing this is the perfect buy. But the only thing missing is the stock cooler. First of all I would like to ask intelligent to please making this clip coolers they are so uncomfortable and sometimes it doesn't. And also the clips are so fragile that you might break one day trying to get us out with a simple write and ball cooler. Also, the performance is not nice, many said cooler is more than enough for the next 100 years.",positive
Best processor in this price range. Best performance all togethe.,positive
"It is a good processor to build a low budget computer. In this processor, you have to install a separate graphics card. For the display, I would also say that installing a cooler or a liquid cooler is also very important because this processor hots up more.",positive
"Got this product in good packaging. I have sponsored this cpu with my RX 590 and 16 GB RAM 3200 MHz, If you are looking for budget gambling, this is excellent. Gaming Benchmark: Assassin's credit unit: 80 fps high setting. Apex legend: 144+ fps plus settings Pubg Steam: 110 fps, very high settings The cpu time goes to 67°C max during intensive gameplay for 5-6 hours, make sure to put Heating properly. Stock cooler is enough. I am using msi H610M-G parentboard, the stock cooler gives enough room for ram sticks make sure to have psu of at least 500 watts.",positive
I bought the processor for a H1 V2 by NZXT. This runs without problems on an ASUS Strix B760i with 2x DDR5 6000Mhz CL30. Very recommended!,positive
I've been given more expensive CPUs - up to AMD Ryzen 9 and Intel 13900K. In most cases these were overkill and ran with high watchings! Most of the work I was doing everything to GPU so cheaply CPU was a waste. I've been downgraded to this CPU in my main desktop. It's great for productivity work as well. I have it pared with a RTX 4000 series card and haven't noticed a significant drop into frame which is still bleeding. (maybe 1-5 FPS),positive
delivered in perfect state and in times,positive
"The core core is the core of the 12th generation of Intel, based on the Alder Lake architecture. It is distinguished by its gravity in 10 nm, its support of PCI 5.0 and Thunderbolt 4, as well as its compatibility with the memory DDR4 or DDR5. It is a major processor without integrated graphics circuit, which involves the use of a dedicated graphics card. The core i-12400F has 6 high performances (P-Core) and 12 threads, thanks to the Hyperreading technology. It displays a base frequency of 2.5 GHz and may reach up to 4.4 GHz in Turbo mode. It is also equipped with the base of 1st century and 1st century's laws.",negative
"INTRO How is it true that instead of buying portals and preassembleds, a real nerd constructs the computer from itself, and in addition, shares its experience in the ancient art of PC Building with friends and relatives. My brother needed to use a computer, and imagine the sadness of seeing him with a laptop, a preassemble or even worse with a Mac, I thought to build a computer on it. And yet, what is the best way to turn someone into the PC Gaming if he didn't have so much love? I decided to choose this processor because it's basically built by friends and relatives.",positive
"Great performance with cost benefits. But there is a very important detail. SEM GPU INCLUSA. In other words, your computer needs a video card to work, different from other processors with GPU included. An important detail.",positive
"Switched from 6th gen i5 (6600k) to 12400f, I can feel the significant improvement. Especially with daily tasks and games it works perfectly. I got ddr5 6000hz cr30 ram as well, works without a problem. Combined with 4060 ti, consumptions such small power and gets everything I need to do so far. I got a night cooler for it though, works really quiet and cool. Perfect for the price. About 500sek cooker than the version with integrated graphics, but there are low profile gpus in case you want it as a simple day or office use.",positive
Ivm my old I5 8400 is a world of difference. All load directly no delays. Icm a rx 6600 as well as all games on 1080p on minimum 75fps.,positive
"Activity, low flow using 65TDP does not play for bardo, in combination with ML240L in the A4-H2O building maximum temperature during test stress is ~65C, usually during the game ~58C",negative
"Price, performance, gambling? This CPU is beyond amazing, and then you see the price and quite slowly it is a powerhouse at an incredible price.",positive
"After a long time of use and several trials, I concluded my opinions by enumerating the various strengths and weaknesses of this processor: Multinucleal Performance: With six kernels and twelve subprocesses, it highlights multi-process tasks, such as video and 3D renderings, offering remarkable Performance for an average range processor. Balanced games: the performance of the games is solid, which ensures the speed of frames stable in recent games. The effective management of the threads contributes to a better game experience. Productivity: for the daily production tasks, such as web navigation, processing of documents and multi-modeling, the processor offers a rapid experience of the average range of the range of the range. The resulting of the game is adging process.",positive
"Had bought this 12400f just because Amazon had it for a day for 105€ :-). I then replaced my 12100f, and it has won. In games it is not to be noticed by older people, but current titles bring more FPS but above all, the game is going something (Smoother) so much more liquid that my FPS are higher. In office applications it is no matter 4/8 or 6/12 Core, it is not to be noticed, but if I am a MKV file to AVI, it's about 40% time. He didn't run in office over 35C, in games not more than 60C, and at file changes (100% less than 75C, and I don't want to get older than 75C, and then I don't want to get older.",positive
"I am not one of the configurations and my knowledge is basic. I have to replace an old i7,7700k fail (whether the mother card or the proc I'm not sure). The technology that evolves very fast in 6 years and after some research I've fallen very fast on this i5,12400F to very good quality ratio. And I'm much more satisfied. It's much faster in everything. I do a lot of video under the first and I get comfortable. There's less free on the big mountains. I use the ventricle, no worries, this chauffe and the thermometer is pre-installed. For an upgrade has a small budget (CM+PROC) for about 2 years, I have been able to fix it.",positive
"Today, it is not yet mounted but for the price of 103 euros at the time of the Black Friday, it was impossible to cross this I5 12400F. It is good for the Gamings in FHD, Quad HD and 4K, a little overlock with some home card. For the streaming no problem and the little application for no too much performance, it will also do the thing. If you send down 130 euros, you will not be able to be disappointed, in+ the compatible DDR4 and DDR5, so be less evolutionary in a config.",negative
"It offers good performance and good temperatures at good price, both to play as an ofimatic or video editing.",positive
"The Intel Core work is a 12th-generation desktop processor that offers excellent quality-price ratio. It has 6 cores and 12 thread, with a base frequency of 2.5 GHz and a turbo frequency of 4.4 GHz. Game performances The Core i5-12400F is able to offer excellent performances in a medium-facing building. In full HD, it is able to manage without problems most of the modern games, including high-quality settings. In 4K, it is still able to offer high-quality performances, but it is necessary to lower the graphic settings. The Core is also an excellent choice for the production of the i5-12400F cores. It is also used as a gravitationalty gravitation.",positive
Let's go.,neutral
only good.Jhon,neutral
"Good single thread performance with 6 colours and 12 threads. Relatively low power too @65w so suitable for silent PC, at much lower price point than T coded CPUs (35w).",positive
Well nuff said it works. 5 stars for you sir,neutral
"From the moment I installed this Intel processor on my computer, I was impressed by its exceptional performance. Despite its affordable price, this processor manages all my daily tasks with ease, from web browsing to text processing and video editing. What really highlights is its ability to handle multiple applications without delay. In addition, its energy efficiency is remarkable, which means that not only is good for my bottle but also for the environment. In summary, this Intel processor offers a perfect balance between price and performance. It is an excellent choice for anyone who seeks to update his system without spending a fortune.",positive
"Great for the price, it always has only one application open, i.e. every game runs without problems.",positive
"For a first PC configuration, I set up a budget of 1200 Euro. For this type of configuration, I5 12400F is clearly recommended.",positive
He arrived in good conditions and very fast,positive
"It's the CPU of the moment for price-quality ratio, depends always on the use you have to do, but also efficient cmq for the gaming obviously not extreme as it is a f and not a k...Perfect for building like mine with 16gb ram DDR4, rtx 4060. Silent with serial dispersion",positive
Very good processor for the price,positive
Would be useful to specify which boards it will work with as plugin and play no longer exist.,positive
It's great if you're trying to make a mid-range PC but you could spend a little more and get the i5-12600k or the i5-13500,positive
"If you think about installing a new set up without spending too much with a processor and still have a good performance in your tasks and games, choose it. The cost of benefit is excellent.",positive
"Super processor! Delivery accomplished after 1 day. In the best processor price class you can count on my opinion. Use it already for 9 months and are very satisfied. The attached refrigerator is also ""okay"". It cools the processor sufficiently but does not necessarily slow :D Then I would rather recommend it to a good CPU cooler, even if it costs less.",positive
"the pill is very cheap but no longer if I made a good choice, with a 3060 of 12 gb, yet I have problems making videos, I think I would recommend an effort by the i7 12 generation, but power this i5 see it short",positive
What's that noise? Oh it's a broken sheet cooler.,negative
"The delivery was well carried out in times, but the cardboard box was slightly attached to the corners. The processor itself is excellent, very good quality/price report. Very pleased",positive
"I love this cpu and its price tag. It can handle the latest games well and works quite well for graphic design applications. The only issue I have with this is your ram is locked to a maximum of 3200hz. If you want to get it higher, consider a 12400KF",positive
I really liked that they delivered it with which and it was on time. That was the most important part. so it was timely and they delivered it with less than a day.,positive
"This processor, without integrated video card options for overclock, is an excellent choice for those who are looking for good performances both for a working use and in the field of gambling. I bought it to collect it in the PC on which most of the programs like Ligthroom here are used and I have remained very satisfied. I am also satisfied with its gaming performances where I can play in QHD, of course with a video card dedicated to AA games such as Cyberpunk 2077. The processor is quick and reliable, I did not find any problem at almost one year after having set up a good dissipator after the market. Regarding temperature, one sin, one sin, the pricer mounting car is worth twice.",positive
Good processor!,positive
"Top processor that makes all games turn very well in big resolution. I'm going to make the streaming and the tests I've performed for the moment are very positive with very little leg. This I5 version can completely rival to old I7 version. The position on the home card and very easy! I don't know, but the fan is included inside with a pad to hit the processor. Its fixing is correct and easy to fix. Very good product, I recommend ►",positive
"If you want to build an economic building, this is a good processor especially when it goes down first; I recommend replacing the stock disposal with something more valid and quiet, but if you are really restricted as budget goes well with the stock. You can still say it in 2024, especially if it is combined with a good video card (e.g. RX 6600) and a decent mother card.",positive
Top Processor at an acceptable price,positive
"I used it basically for flight simulators and listened perfectly, but I suggested using a cooler water. During the simulation it was reaching 72o with the original cooler. With water cooler 240 fell to 45.",positive
Purchased this for a new building I was doing. Performed great for the price and run cool just using the stock cooler it came with.,positive
"Received this today, cpu was pre used and ratting around in the box in a sandwich bag. Thermal past tasted around the cooler and cpu.",negative
"A processor with very good performance, good quality, very correct temperatures and especially very good price.",positive
"the cpu is exactly as described and in quality as we expect from intelligence, very good",positive
"The processor is best in price performance, but if it is also made OC by BCLK, it is inexhaustible.",positive
Still waiting for my return after a false mother board ruined the cpu and possibly my gpu amson customer service is terrible have absolutely no understanding of technical stuff and couldn't which less I sat here with no computer unable to make relief and won't even compensate for the rest of the damage the false mother board has caused to my PC quick enough to take my money but every excuse under the sun not to give it bk,negative
"I'm absolutely impressed by the CPU For the price there's nothing to mix in things I think the CPU is going through the missing igpu too. For the first time, there's only 2 minus points that don't fall into my personal weight. 1 no igpu without a own graphics can't get an image 2 Boxed refrigerator immediately (through specified 65wattt) with boxed refrigerators over 80 degrees Then you can get a performance for grade 119€ with any game over 60 FPS brand. -The equipment that the boxer does not use so much for me personally.",positive
Cost of best use of intelligence to work,positive
"A very good processor, its price is very reasonable, does not consume too much, does not heat too much (ventirad with very good). It has a boost option making it pqser to 4GHz compatible with not bad parent card. Go there close your eyes.",positive
"I ordered the cpu, but when it arrived, a lift from the fan was broken.",negative
In my opinion this is the best price vc will find an i5 of 12 generations. It came quickly to see that I lived in the end of the world.,positive
"Buy it as cpu by my son's first computer and it was a very good purchase, the games are great together with a graphic rtx 3080.",positive
The Intel i512400f with box lift runs at me on a msi 1700 board and 16 gave ram 3200 mz from the corsai and an Rtx 3060 12gb,neutral
"Was going for a top end 1080p built and from all the reviews I'd read, the 12400F seemed like the best option. Easy to install.",positive
You are not allowed to save the changes to your changes.,neutral
"Tested a couple of weeks together with a rtx 3070 on some online games, I think either a really great processor, is going down or with various offers is between 120 and 130 euros and at this price I can't believe you're asking for better. Unique, it will be the new architecture, but the core turbo does not go to 4.4Ghz on all Korea at the same time (as on the previous series 6xxx 7xxxx or on platform X29 the famous option ""enhanned turbo boost"" here is not implemented) but stops at 4 gigahertz. I don't think it can change much more than in games, seen several videos compared to i7 and i9 pairs of the same pair.",positive
"Nothing to say specifically is an I5-12400F Advanced Office, Small and Medium Games... It works very well",positive
"In order to install Windows 11, I had to re-install my PC hardware that came into years. This CPU is Windows 11-day. Important: ""F"" variant has no onboard graphics. For this is a separate graphics card. I use the CPU in a business-PC with an additional graphics. The CPU is only 3 months in use. About quality/sustainability I have never had any problems with Intel-CPUs yet. About Gaming my experiences have been back for many years. IdR. Gamer installs one of its game habits in terms of performance graphics. This CPU could therefore be an interesting example of non-inferiority.",positive
the need to buy me a cheap beautiful processor and price quality. when I pay it I came over luxury now I take it with good savings and 10 to advance already.,positive
I am not a gamer but like to keep reasonable up to date and this intelligent cpu fits the bill for me. Its fast and works well with my motherboard.,positive
